Name 1;Name 2
Isles;Isle
Frey;Freys
Winter;Winterfell
Greyjoy;Grey
Farlen;Far
Tullys;Tully
Baratheon;Baratheons
Cerwyns;Cerwyn
Truly;truly
Payne;Paynes
Ranger;Rangers
Day;Dayne
Eastwatch-by-the-Sea;Eastwatch
Eastwatch-by-the-Sea;East
Eastwatch-by-the-Sea;Sea
far;farther
Westerling;West
Darrys;Darry
Hornwoods;Hornwood
Hornwoods;Horn
Seagard;Sea
Bronn-I;Bronn
Kingsguard-all;Kingsguard
Kingsguard-all;King
Kingsguard-all;Kings
Lowborn;Low
Dragondew;Dragon
Eastwatch;East
Summerwine;Summer
Crown;Crow
Nightmare;Night
Lannisters;Lann
Lannisters;Lannister
Blackwater;Black
Long;Longclaw
Gate;Gates
Robb;Robb-these
Redwynes;Redwyne
Redwynes;Red
Crows;Crow
Redfort;Redforts
Redfort;Red
Lyanna;Lya
Lions;Lion
Light;lightly
Frost-fallen;Frost
Frost-fallen;Fallen
Horror-struck;Horror
Glover;Glovers
Targaryens;Targaryen
Mountain;Mountains
M'lords;Lords
M'lords;M'lord
Halfhand;Hal
Tom;Tommen
Tom;Tomard
Warden;War
Cities;City
Ben;Benjen
Bloodred;Blood
Lann;Lannister
Lann;Lannisport
Time;Timett
Pentos;Pentoshi
Bran;Brandons
Bran;Brandon
Knights;Knight
Gods;God
Gods;Godswife
Valyria;Valyrian
Qarth;Qartheen
Mallisters;Mallister
Presters;Prester
Matthar;Matt
Cats;Cat
Starks;Stark
Waynwoods;Wayn
Waynwoods;Waynwood
Lord;Lords
Lord;Lordling
Arryn;Arryns
Pyp;Pypar
Imp.;Imp
Asshai;Asshai'i
Shadow;Shadowcats
Bracken;Brackens
Dothraki;Dothrak
Podrick;Pod
Kingsguard;Kings
Kingsguard;King
Myrcella;Myr
Fair-haired;Fair
Dragonlord;Dragonlords
Dragonlord;Dragon
Twins-two;Twins
Farewell;Far
Kings;Kingslayer
Kings;King
Horse;Horseface
Horse;Horselord
Cohollo;Cohollo-Cohollo
Eye;Eyes
Eye;Star-Eyes
Karstark;Karstarks
worshipfully;Worship
White;Whitey
Braavosi;Braavos
Dragonglass;Dragon
Hightower;High
March;Marches
March;Marching
Landing;Land
Brother;Brothers
Brother;Brotherhood
Cat;Catelyn
Mother;Mothers
Tower;Tower-so-called
Sam;Samwell
Hobber;Hobb
Mormont;Mormonts
Dragonbone;Dragon
Dornishmen;Dornishman
Fireflies;Fire
Mord;Mordane
Myrish;Myr
Tarly;Tarlys
Hornwood;Horn
Jon;Jonos
Jon;Jonquil
Builder;Builders
south;South
Giant;Giants
Black;Blackfish
Black;Blackwoods
Black;Black-and-scarlet
Black;Blackwood
Westeros;West
Land;Lands
Sealord;Sea
Barristan-were;Barristan
Sept;Septon
Ladies;Lady
Tyrell;Tyrells
Tallharts;Tallhart
Oldtown;Old
Sea;Seasons
Dragonbane;Dragon
Theon;Theo
Father;Fat
Other;other
Dragonknight;Dragon
God;Godswife
God;Godwyn
Joffrey;Joff
Red;Redwyne
Red;Redforts
Hali;Hal
Blackwood;Blackwoods
Hall;Hal
Lover;Love
Wyl;Wylla
Wyl;Wylis
Andalish;Andal
High;Highgarden
Hal;Halder
Hal;Halfman
Wildlings;Wildling
Woman;Women
Goldengrove;Gold
Harrenhal;Harren
Norvoshi;Norvos
Lysa;Lys
Dragons;Dragonstone
Dragons;Dragon
Dancer;Dance
Wayn;Waynwood
Rider;Riders
Dreadfort;Dread
Porther;Port
King;Kingslayer
King;King-beyond-the-Wall
Islands;Island
Honor;Honors
King-beyond-the-Wall;Wall
Woods;Wood
Tyrosh;Tyroshi
faithfully;Faith
Beth;Bethany
Princess;Prince
Dragonpit;Dragon
Ryger;Rygers
Dragon;Dragonkings
Dragon;Dragonstone
Dragon;Dragonlords
Commander;Command
Eyes;Star-Eyes
Wallen;Wall
Bay;Bayasabhad
Brandons;Brandon
Andal;Andals
Lancel;Lance
Lewyn;Lew
Rakh;Rakharo
Fire;Fires
Royce;Royces
Southron;South