Name;Degree
;0
Bogies;1
Fang;2
pompously;9
Muggles;4
Dudley;15
Dundee;1
already;1
earth;4
Hat;1
Body-Bind;1
Ravenclaw;2
needin;1
Dad;1
McGonagall;8
Lucky;1
Fred;15
only;1
Hogwarts;6
Flint;5
Granger;2
Who'd;1
Magic;3
casually;12
Stalagmite;1
Voldemort;11
Mrs.;1
angrily;3
I'd;12
Aunt;7
Flamel;4
Piers;2
always;2
reasonably;2
anxiously;5
Potter;4
twice;4
softly;2
London;2
team;1
Norris;1
Petunia;5
George;14
Levi-o-sa;1
calmly;6
Snare...what;1
D'yeh;1
Weasley;22
Diggle;5
furiously;6
Quirrell;15
Cauldron;1
Mars;2
Goyle;12
Longbottom;1
Red;1
really;1
Head;1
Lee;17
No...you;1
Nimbus;1
Filch;10
Severus;2
Sorcerer;2
airily;9
Neville;28
Heaven;1
Norbert;3
Charlie;4
Professor;42
Bill;2
You-Know-Who;8
Malfoy;27
darkly;9
Galleons;1
shakily;7
coldly;3
Gringotts;3
boy;2
Romania;1
Hagrid;89
Dean;4
You'd;2
Ron;80
Fluffy;1
Dead;0
Percy;25
Griphook;2
He-Who-Must-Not-Be-Named;1
loudly;8
We'd;1
Little;1
Slytherin;14
Cornelius;1
Pomfrey;3
quietly;8
Devil;2
Baron;2
Beaters;1
suddenly;12
Knuts;1
Nick;10
Black;1
Spinnet;1
Stone;12
Hufflepuff;7
Lily;2
Hooch;8
It'd;1
miserably;5
Monday;1
Remembrall;10
Firenze;4
quickly;3
breathlessly;3
They'd;0
Vernon;8
Uncle;16
Marge;2
way;1
Erised;1
He'd;8
Yeh;2
Snitch;2
Ridgeback;2
Dragon;1
Hags;4
Quaffle;2
Harry;110
Seamus;12
past;1
Night;1
Force;1
idly;5
Wizards;1
timidly;8
Miss;1
proof;1
Sir;1
Oliver;2
Quidditch;4
Dursley;17
Agrippa;2
grumpily;8
Wizard;2
Father;1
gently;10
Better;2
Yeah...he;1
Mr.;3
Wood;29
Bludgers;1
something;4
Forge;1
Chaser;9
mysteriously;1
Christmas;2
again;4
Gryffindor;7
thing;7
Hannah;7
Ministry;2
Bane;4
gloomily;3
book;1
Snape;24
wantin;1
Lady;0
Hall;5
Great;1
Dumbledore;26
opposite;4
Mirror;2
Wednesday;1
Parkinson;7
Hermione;46
letter;1
Transfiguration;1
Flitwick;2
Patil;7
Scabbers;6
Captain;0
Hedwig;3
Mommy;1
Arts;1
Fancy;1
briskly;9
Ollivander;1
